year,work,title,title_narrow,venue,venue_narrow,location,location_narrow
2026,Life on FACT and Coffee Machine,FACT's Spring 2026 exhibition programme,FACT Spring 2026 exhibition,FACT,FACT,Liverpool (UK),Liverpool (UK)
2026,Coffee Machine,Digital is Forever,Digital is Forever,KUMU Art Museum,KUMU Art Museum,Tallinn (EE),Tallinn (EE)
2025,Coffee Machine,New Food,New Food,Deutsches Museum Nürnberg,Deutsches Museum Nürnberg,Nürnberg (DE),Nürnberg (DE)
2025,Copy Machine / Dream Machine,Artificial vs. Intelligence,Artificial vs. Intelligence,The Media Majlis at Northwestern University in Qatar,Media Majlis NWU Qatar,Doha (QA),Doha (QA)
2025,Coffee Machine,Dutch. More or Less. Contemporary Architecture Design and Digital Culture,Dutch. More or Less. Contemp.,Het Nieuwe Instituut,Het Nieuwe Instituut,Rotterdam (NL),Rotterdam (NL)
2025,,AI Ecologies,AI Ecologies,Artphy,Artphy,Groningen (NL),Groningen (NL)
2025,,Alter Ego,Alter Ego,Lofi,Lofi,Amsterdam (NL),Amsterdam (NL)
2025,,Big Dada,Big Dada,Arti et Amicitiae,Arti et Amicitiae,Amsterdam (NL),Amsterdam (NL)
2025,,Glitch Residency,Glitch Residency,Chateau du Fey,Chateau du Fey,Villecien (FR),Villecien (FR)
2025,,AI for Language Education in Belgium – development,AI for Language Education (BE),Gluon,Gluon,Brussels (BE),Brussels (BE)
2025,,"Keynote ""Perceiving Aliveness in Embodied AI""",Keynote: Perceiving Aliveness AI,"AI in art Practices and Research Conference, UNATC",AI in art Practices & Research,Bucharest (RO),Bucharest (RO)
2025,,Artificial Physical Intelligence,Artificial Physical Intelligence,"Artificial Intelligence and Digital Art Lab, ShanghaiTech University",AI+Digital Art Lab ShanghaiTech,Shanghai (CN),Shanghai (CN)
2025,,Guest Lecture for Networked Materiality,Guest Lec: Networked Materiality,Akademie der Bildenden Künste Nürnberg,Akad. Bild. Künste Nürnberg,Nürnberg (DE),Nürnberg (DE)
2025,,"Guest Lecture for HSLU's Digital Ideation Class",Guest Lec: HSLU Digital Ideation,Hochschule Luzern,Hochschule Luzern,Lucerne (CH),Lucerne (CH)

2024,Coffee Machine,Chaos Communication Congress,Chaos Communication Congress,Chaos Communication Congress,Chaos Communication Congress,Hamburg (DE),Hamburg (DE)
2024,Coffee Machine,De Reünie,De Reünie,Radion,Radion,Amsterdam (NL),Amsterdam (NL)
2024,Coffee Machine,Moony Habits,Moony Habits,Moony Habits,Moony Habits,Los Angeles (US),Los Angeles (US)
2024,Coffee Machine,Flux Festival,Flux Festival,Audrey Irmas Pavilion,Audrey Irmas Pavilion,Los Angeles (US),Los Angeles (US)
2024,Coffee Machine,Flux Festival,Flux Festival,USC's Media Arts Campus,USC's Media Arts Campus,Los Angeles (US),Los Angeles (US)
2024,Coffee Machine,Prix Ars Electronica Exhibition,Prix Ars Electronica Exhib.,Lentos Museum,Lentos Museum,Linz (AT),Linz (AT)
2024,Coffee Machine,Traumburg Festival,Traumburg Festival,Schloss Dornburg an der Elbe,Schloss Dornburg a/d Elbe,Dornburg (DE),Dornburg (DE)
2024,Coffee Machine,PublicSpaces,PublicSpaces,Pakhuis de Zwijger,Pakhuis de Zwijger,Amsterdam (NL),Amsterdam (NL)
2024,Coffee Machine,Disco Damsco,Disco Damsco,Lagerwal,Lagerwal,Amsterdam (NL),Amsterdam (NL)
2024,Coffee Machine,Dutch, More or Less. Contemporary Architecture, Design and Digital Culture,Dutch, More or Less. Contemp.,Het Nieuwe Instituut,Het Nieuwe Instituut,Rotterdam (NL),Rotterdam (NL)
2024,Coffee Machine,Lobby,Lobby,De Brakke Grond,De Brakke Grond,Amsterdam (NL),Amsterdam (NL)
2024,Coffee Machine,Beyond the Black Box,Beyond the Black Box,De Brakke Grond,De Brakke Grond,Amsterdam (NL),Amsterdam (NL)
2024,Coffee Machine,Het Einde,Het Einde,De School,De School,Amsterdam (NL),Amsterdam (NL)
2024,Microwave,Prix Ars Electronica Exhibition,Prix Ars Electronica Exhib.,Lentos Museum,Lentos Museum,Linz (AT),Linz (AT)
2024,Copy Machine / Dream Machine,Cinekid Festival Medialab,Cinekid Festival Medialab,De Schuur,De Schuur,Haarlem (NL),Haarlem (NL)
